002,Projeto e Analise de Algoritmos
6.0,1,1,1
20240139,1.71,0.74,2.05
20240104,6.4,5.08,4.7
20240164,9.55,6.57,7.17
20240135,1.7,1.04,6.67
20240103,1.99,9.72,8.31
20240127,3.08,7.22,7.37
20240125,2.58,2.93,9.45
20240109,4.06,3.14,2.41
20240132,1.5,2.51,0.05
20240144,3.73,9.35,8.57
20240148,2.86,3.09,3.43
20240146,4.36,8.27,8.03
20240159,6.21,6.0,1.29
20240102,0.98,2.9,2.68
20240138,4.72,9.14,9.26
20240105,2.85,9.95,8.14
20240153,1.07,2.87,8.94
20240117,5.37,0.36,6.05
20240130,7.8,4.23,6.18
20240118,9.88,7.47,3.52
20240106,0.98,4.1,5.13
20240121,3.86,3.71,2.03
20240129,6.33,6.6,1.16
20240113,4.22,7.05,9.43
20240147,1.12,6.12,3.1
20240166,7.65,1.67,5.88
20240111,0.45,3.34,8.0
20240116,6.81,1.8,7.86
20240161,5.48,1.25,5.44
20240143,7.78,2.95,9.35
20240145,4.78,6.23,3.49
20240131,5.66,9.63,5.33
20240136,9.86,2.1,3.52
20240126,4.89,5.98,3.84
20240128,2.14,3.57,3.68
20240157,6.4,0.18,0.15
20240151,5.61,8.53,2.78
20240156,2.65,9.99,9.5
20240170,2.21,3.96,6.75
20240140,5.13,1.16,5.57
20240122,7.98,4.87,1.15
